name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Gîtes de la Marinière,40,418 km,417694,3 hours 46 mins,13557,3 hours 43 mins,13374,"356 La Marinière, 85170 Le Poiré-sur-Vie, France","46.782379,-1.55116",http://www.grandsgites.com/gite-85-mariniere-2475.htm,,06.25.99.16.65,02.51.06.48.81,"Gestion libre : None  Taxe de séjour : 0,59 €/pers./nuit Location draps : Inclus Ménage fin de séjour : Forfait ménage allant de 70 à 110 € Animaux : Non admis Chèques vacances : Oui","
Dans un petit hameau calme de la campagne vendéenne au Poiré sur Vie, la Marinière vous invite à passer un bon séjour dans des gîtes spacieux jusqu'à 240 m² et lumineux avec des grandes baies vitrées.
Vous disposerez d'une salle de réception de 50 personnes avec cuisine. Notez que chaque gîte dispose d'une piscine privative (chauffée de mi-mai à mi-septembre). Wifi dans chaque gîte et dans la salle."
Le Relais de Saulges,35,232 km,231968,2 hours 8 mins,7669,2 hours 7 mins,7614,"La Babinière, 53270 Thorigné-en-Charnie, France","47.989929,-0.388926",http://www.grandsgites.com/gite-53-relais-saulges-872.htm,,06.88.91.88.30,02.43.02.84.52,Gestion libre : None  Taxe de séjour : Incluse Location draps : 5 € Ménage fin de séjour : 250 € Animaux : Non admis Chèques vacances : Non,"
Situé dans un cadre champêtre et reposant, c'est le lieu idéal pour les fêtes familiales, les séminaires, et aussi l'accueil des petits groupes (location de chambres à la nuitée). Profitez de ses installations confortables et fonctionnelles: cuisine, salon avec cheminée, beaucoup d'espace à l'intérieur comme à l'extérieur. Chemins privés de promenade, accès rapide au site des grottes de saulges. Nombreuses activités possibles dans le secteur, escalades, randonnées pédestres, visites touristiques."
Gîte de Marcelle,22,361 km,361235,3 hours 9 mins,11351,3 hours 7 mins,11238,"60 Rue de Clisson, 85500 Les Herbiers, France","46.875180, -1.019840",http://www.grandsgites.com/gite-85-marcelle-3398.htm,,06.33.01.33.77,02.44.38.63.09,"Gestion libre : None  Autres infos : Location à la nuitée acceptée pour la Cinescenie du Puy du Fou.  Taxe de séjour : 0,44 €/nuit/pers. Location draps : Non inclus (possibilité de location sur demande) Ménage fin de séjour : Non inclus (possibilité sur demande) Animaux : Admis Chèques vacances : Oui","
Gîte (composé de 4 appartements dans une même maison + une pièce de réception de 35 m² avec sa cuisine. Chaque appartement à sa propre cuisine, salle de bain...) à 10 minutes Puy du Fou permettant d'accueillir 22 personnes en une location sur 3 étages au centre de la ville des Herbiers. Nous acceptons les locations de courtes durées et à la nuitées. Sur place parking facile et privatif dans un quartier tranquille. Terrasse extérieur. A 400 m tous commerces. Wifi gratuit qui fonctionne bien dans le gîte et réception de la 4G. "
Manoir de l'Espérance,20,412 km,412386,3 hours 48 mins,13677,3 hours 46 mins,13544,"2007 D77, 44560 Corsept, France","47.277664,-2.077715",http://www.grandsgites.com/gite-44-manoir-esperance-924.htm,,06.19.26.75.80,09.75.65.21.41,"Gestion libre : HOME SWEET HOME  Autres infos : - Option ménage fin de séjour (+200€ pour le bâtiment principal, +100€ pour les extérieurs)  Taxe de séjour : Incluse Location draps : 8 € Ménage fin de séjour : 200 ou 300 € Animaux : Admis (7€/animal/nuit) Chèques vacances : Oui","
Le temps d’un week-end, privatisez un Manoir et offrez-vous le plaisir de réunir vos proches dans une grande maison de famille XIXe rien que pour vous. Dans son écrin de verdure, le Manoir de l’Espérance, proche des plages de St Brevin, répond à tous vos souhaits. Grande salle de réception agréablement meublée et décorée pouvant accueillir 30 convives maximum, avec cheminée et chaine hifi. Dans le bâtiment principal, comptez 16 à 20 couchages (enfants compris) répartis en 8 chambres et 5 salles de bains. En saison, 14 couchages supplémentaires possibles dans des cabanes en bois (sanitaires collectifs type camping). Sur place : grand parc fleuri et ombragé, stationnement sécurisé et gratuit, mini-ferme, wifi gratuit, jeux pour enfants (balançoires, échelles de cordes, trébuchet, toboggan, cabanes), billard français, table de ping-pong, mobilier de jardin, barbecues..."
Les Gites de la Léonière,30,425 km,425286,3 hours 39 mins,13155,3 hours 37 mins,13005,"D760, 85150 Saint-Mathurin, France","46.570788,-1.708525",http://www.grandsgites.com/gite-85-leoniere-2437.htm,,06.77.05.05.76,02.51.20.89.68, Autres infos : Nous contacter pour un devis  Taxe de séjour : Non incluse Location draps : 10 € Ménage fin de séjour : Non inclus Animaux : Non admis Chèques vacances : Oui,"
Bienvenue aux gites de la Léonière où nous vous accueillons pour le temps d'un Week-end ou plus. Le lieu est idéal car la capacité est variable de 2 à 30 personnes, réparties sur nos 3 gites. Vos fêtes de familles ou réunions amicales prendront une dimension unique grâce à notre piscine chauffée et couverte, notre jacuzzi, notre terrain de pétanque et notre table de ping-pong.

"
Cottages Château de Chambiers,34,242 km,242132,2 hours 9 mins,7723,2 hours 8 mins,7668,"Chambiers, 49430 Durtal, France","47.64603,-0.245337",http://www.grandsgites.com/gite-49-chateau-chambiers-1840.htm,,,02.41.76.07.31,"Gestion libre : Nous consulter  Autres infos : Nous consulter pour un tarif précis.  Taxe de séjour : 0,40 €/pers./nuit Location draps : Non inclus Ménage fin de séjour : Non inclus Animaux : Admis (12,50 €) Chèques vacances : Non","
Bienvenue aux cottages du Château de Chambiers. Situés dans le parc du château, L'Orangerie 9 couchages, Le Chêne 16 couchages et La Maison du Jardinier 9 couchages sont des hébergements restaurés avec charme, élégance et raffinement. Ils sont proches du château dans un parc splendide avec jardins, forêt et étangs à deux pas, tout en étant parfaitement indépendants."
Château Médiéval Restauré,18,327 km,327444,3 hours 4 mins,11041,3 hours 2 mins,10915,"18-20 Rue du Château, 49110 Montrevault-sur-Èvre, France","47.26317,-1.045263",http://www.grandsgites.com/gite-49-chateau-restaure-1332.htm,,06.75.94.27.70,01.45.35.70.44,"Gestion libre : Nous contacter.  Autres infos : Prix de la location modulable selon la surface louée (225 à 462 m²), la période de location, l'activité et le nombre de jours loués.  Taxe de séjour : Non incluse Location draps : 8,50 € Ménage fin de séjour : Non inclus Animaux : Admis Chèques vacances : Non","
Château médiéval restauré, entre Angers et Nantes, à quelques kms de la Loire, dans village, idéal  pour accueillir familles ou groupes, stages, séminaires, retraites, tournages de films...domine pont médiéval et rivière de l'Èvre (pêche, bateau, ping pong, randonnée, chi qong, taï chi, yoga, méditation...) avec véranda, jardin, verger, coteau, terrasse, 1 garage, 1 salle de jeux, 1 table de ping pong, capteurs solaires... A proximité, accès gratuit municipal terrain de tennis, basket, bibliothèque."
Château des Landes,14,322 km,322012,3 hours 4 mins,11012,3 hours 2 mins,10928,"49560 Cléré-sur-Layon, France","47.092536,-0.451022",http://www.grandsgites.com/gite-49-chateau-landes-1547.htm,,06.10.876.555,02.41.59.58.02,Gestion libre : None  Autres infos : Prix basse saison du 1er novembre au 30 avril  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 80 € Animaux : Non admis Chèques vacances : Oui,"
Entre Saumur et Cholet, au Château des Landes, côté cour, gîte de 14 personnes avec 6 chambres, décor chaleureux et coloré, terrasse. Les draps sont mis dans les lits et vous n'avez plus qu'à vous installer tranquillement. Vous pouvez avoir pains et croissants le matin sur demande."
La Faisanderie,15,248 km,248443,2 hours 24 mins,8611,2 hours 22 mins,8535,"Le Ménil, 53200 Longuefuye, France","47.874127,-0.586316",http://www.grandsgites.com/gite-53-faisanderie-1674.htm,,,06.79.01.80.92,Gestion libre : None  Autres infos : Piscine ouverte en saison.  Taxe de séjour : Incluse Location draps : 10 € Ménage fin de séjour : 75 à 150 € selon durée Animaux : Admis Chèques vacances : Non,"
Grande longère à la campagne avec une piscine chauffée, idéale pour vos séjours en famille et entre amis. Calme et tranquillité au coeur du Haut Anjou mayennais."
Le Clos des Guibouleraies,50,315 km,315471,2 hours 54 mins,10455,2 hours 53 mins,10365,"16 Rue Victor Lassalle, 49440 Candé, France","47.5589713,-1.0417807",http://www.grandsgites.com/gite-49-clos-guibouleraies-324.htm,,06.80.90.01.55,02.41.92.88.82,"Gestion libre : Devis en fonction du nombre de personnes, durée et options. Pension complète : Prix variables selon menu choisi  Autres infos : Option petit-déjeuner, repas, location de draps, forfait ménage.  Taxe de séjour : None Location draps : None Ménage fin de séjour : None Animaux : None Chèques vacances : Oui","
Avec 18 chambres, des pièces de réception modulables et un parc de détente de 2 Ha, le Clos des Guibouleraies vous permet d'organiser vos événements familiaux, amicaux ou professionnels dans un lieu unique. C'est pratique, convivial et économique ! Repas sur réservation ou en gestion libre. Restaurants à 5 mn à pied. Entre Angers et Nantes. Liaisons car SNCF (40 mn) depuis Paris à l'arrivée du TGV (1H30)."
Dépendances Château de la Flocellière,100,370 km,370055,3 hours 21 mins,12056,3 hours 19 mins,11927,"28 Rue du Château, 85700 La Flocellière, France","46.834213,-0.862057",http://www.grandsgites.com/gite-85-dependances-flocelliere-1617.htm,,,02.51.57.22.03,"Gestion libre : Sur demande, nous consulter Nuit + Petit-déj : 21 €/pers. Demi-pension : à partir de 30 € Pension complète : à partir de 38 €  Autres infos : Tarifs précis sur devis  Taxe de séjour : 0,44 €/pers./nuit Location draps : Location de 2 draps: 3 € Ménage fin de séjour : Selon devis Animaux : Non admis Chèques vacances : Oui","
A 8 km du Puy du Fou, centre d'hébergement situé dans les dépendances d'un château habité et classé Monument Historique. Parc de 15 ha. Hébergement en dortoirs, quelques chambres à 2 lits, sanitaires en commun mais exclusivement réservés pour votre groupe (douches et WC). Le château de la Flocellière est au coeur d'un très beau paysage du Haut Bocage vendéen (collines, bois et prairies) tout en étant dans le voisinage immédiat du bourg de la Flocellière où se trouvent à 5 mn à pied tous les commerces et services de proximité, médecin, banque etc..."
L'Emerière,20,418 km,417524,3 hours 45 mins,13493,3 hours 43 mins,13353,"3731 Village de l'Emeriere, 85440 Grosbreuil, France","46.541829,-1.565236",http://www.grandsgites.com/gite-85-emeriere-3211.htm,,,06.52.14.85.92,Gestion libre : None  Autres infos : Tarif du 01/07/2017 au 08/07/2017 (10h) : 3000 € la semaine pour 20 personnes maximum  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Non,"
A quelques kms des Sables d’Olonne, cette jolie maison récente vous ouvrira ses portes le temps d'un week-end ou des vacances entre amis ou en famille et ce par tous les temps. Cette spacieuse maison de 425m² vous proposera ses 7 chambres et ses 4 salles de bain (dont une avec baignoire balnéo et douche) avec toilettes, un grand hall d'entrée attenant à un premier salon-salle à manger de 52 m² (avec un insert à bois) où vous pourrez manger jusqu'à 20 personnes, donnant sur une grande terrasse carrelée et aménagée pour manger à plus de 20 personnes. Le tout donnant sur la piscine (de 10mx5m clôturée pour la sécurité des enfants avec alarme en plus). Cet ensemble à vue sur un terrain de 3000m² au calme et clôturé pour le bien être de vos enfants (terrain équipé de buts de foot, trampoline et balançoire). Une douzaine de bains de soleil vous accueillerons autour de la piscine. Sur la terrasse 2 grandes tables de salon de jardin et 20 chaises, 2 parasols, et un barbecue ainsi qu’un petit salon de détente (canapé-deux fauteuils et petite table) seront à votre disposition. Un second salon fermé (avec son insert à bois) de 34m² avec TV et borne WIFI gratuite et ses nombreux canapés vous recevra pour les moments de détente. Une grande cuisine de 35m² équipée (piano cuisson-lave-vaisselle-Micro-ondes-Cafetière-Senséo-Bouilloire-Grille-Pains-balance-robot et autres pour votre confort ainsi que de nombreux rangements) vous ouvrira ses portes. Un garage de 65m² carrelé et isolé avec machine à laver ainsi qu’une table de ping-pong et un baby-foot. A 5mn vous trouverez un SUPER U ouvert même le dimanche matin."
Gites Les Cerqueux,30,322 km,321825,3 hours 3 mins,10975,3 hours 2 mins,10892,"49560 Cléré-sur-Layon, France","47.092427, -0.449074",http://www.grandsgites.com/gite-49-cerqueux-1550.htm,,06.10.876.555,02.41.59.58.02,Gestion libre : None  Autres infos : Prix basse saison du 1er novembre au 30 avril  Taxe de séjour : Incluse Location draps : Non inclus Ménage fin de séjour : 120 € Animaux : Non admis Chèques vacances : Oui,"
Situé en Cholet et Saumur, vous êtes entre 20 et 30 personnes, nos hébergements sont adaptés à votre fête et sans limite horaire. La cuisine salle à manger fait 45 m². Un devis détaillé et adapté à votre évènement vous sera envoyé sur simple demande."
Le Logis de Poëllier,43,264 km,264374,2 hours 19 mins,8357,2 hours 18 mins,8301,"Poellier, 49150 Baugé en Anjou, France","47.538137,-0.174497",http://www.grandsgites.com/gite-49-poellier-1052.htm,,,02.44.08.50.53, Autres infos : Un devis détaillé et adapté à votre groupe ou votre manifestation vous sera expédié sur simple demande.  Taxe de séjour : None Location draps : Draps fournis et lits faits Ménage fin de séjour : None Animaux : Admis avec supplément Chèques vacances : Oui,"
Le Logis de Poëllier, niché dans un écrin de verdure protégée et luxuriante, vous accueille toute l’année pour vos événements familiaux, professionnels et associatifs. Le site chargé d’Histoire avec son Logis de 1558 offre un potentiel unique dans le département. Ses 43 couchages possibles sur place, répartis de façon harmonieuse et équilibrée, vous permettent de vous sentir ""comme à la maison"". Ce lieu a conservé l’âme et l’authenticité des siècles passés avec sa cour troglodyte et ses pierres apparentes visibles de toutes parts. Notre Logis n’attend que vous pour perpétuer sa Magie."
Gîtes du Moulin Neuf,30,374 km,374231,3 hours 24 mins,12267,3 hours 23 mins,12152,"35 Rue de La Libauderie, 44190 Gétigné, France","47.079767,-1.259716",http://www.grandsgites.com/gite-44-moulin-neuf-1747.htm,,06.78.70.33.58,02.51.55.42.82,"Gestion libre : None  Autres infos : Possibilité de louer seulement le rez-de-chaussée et le 1er étage pour des groupes de 20 personnes en semaine uniquement.  Taxe de séjour : 0,30 €/pers./nuit Location draps : 5 € Ménage fin de séjour : 135 € Animaux : Non admis Chèques vacances : Oui","
Dans un ancien village de Tisserands, l'association ""Les Amis du Moulin Neuf"" vous accueille toute l’année dans cette grande maison de 30 couchages. Le village est situé au cœur du Vignoble Nantais, à seulement 3 km de Clisson, ville d'Art et d'Histoire. La maison se trouve en bord de Sèvre Nantaise."
Domaine du Rocher,16,246 km,246424,2 hours 8 mins,7689,2 hours 7 mins,7633,"14 Rue de l'Assemblee, 49640 Daumeray, France","47.703513, -0.347791",http://www.grandsgites.com/gite-49-domaine-rocher-2396.htm,,06.87.13.07.07,02.41.32.58.54,Gestion libre : None  Autres infos : Ponts : nous consulter  Taxe de séjour : Incluse Location draps : 5 €/pers. Ménage fin de séjour : 70 € Animaux : Non admis Chèques vacances : Non,"
Bienvenue au Domaine du Rocher, gite rural dans un hameau classé. Nous sommes situés aux portes de l'Anjou et de la vallée de la Loire. Le gite est dans une aile d'un logis du XVIème siècle. "
