name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Château de Vaux,23,185 km,185069,1 hour 59 mins,7116,1 hour 52 mins,6714,"Vaux, 10260 Fouchères, France","48.124673, 4.263018",http://www.grandsgites.com/gite-10-chateau-vaux-2861.htm,,,06.33.33.57.94,"Gestion libre : None  Autres infos : Gîtes ouverts toute l'année sans aucun supplément. Tarifs comprenant toutes taxes de séjours, de chauffage, d'eau et d'électricité.  Taxe de séjour : Incluse Location draps : 10 € Ménage fin de séjour : 60 € Animaux : Admis Chèques vacances : Non","
Le gite du Château et le gite de la Ferme sont implantés dans l'enceinte même d'un vaste domaine historique du XVIII ème siècle. Ces deux gites sont disponibles toute l'année pour une location couplée ou séparée en fonction du nombre de convives (de 6 à 23 personnes). Idéalement situés dans un cadre idyllique au milieu d'un incroyable espace naturel préservé, l'accès au Château se fait directement depuis N71 Troyes-Dijon proche du petit village de Fouchères. À 20 mn de Troyes, 15 mn du Lac de la forêt d'Orient, 10 mn du péage A5 et 5 mn du vignoble de la Côte des Bar, ce gîte est l'endroit idéal pour profiter d'un week-end à la campagne tout en profitant de multiples activités (baignade, équitation, golf, tourisme, oenotourisme, chasse)."
Ethic étapes CIS de Champagne,217,158 km,157661,1 hour 53 mins,6770,1 hour 38 mins,5900,"22-26 Chaussée Bocquaine, 51100 Reims, France","49.248967, 4.020922",http://www.grandsgites.com/gite-51-cis-champagne-2987.htm,,,03.26.40.52.60,"Demi-pension : Une nuit 36 € Pension complète : Une nuit 47,20 €  Autres infos : Tarifs groupe différents : sur demande  Taxe de séjour : 0,75 €/nuit/pers. Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui","
Le Centre International de Séjour de Champagne se situe dans la ville des Sacres, entouré de verdure et de parcs. Nous accueillons des groupes (sportifs, scolaires...) qui apprécient la capacité d'accueil, la restauration sur place, et les chambres individuelles ou à partager. Mais aussi des individuels qui eux profitent de services comme la cuisine en gestion libre et l'accueil 24h/24, 7j/7."
Villa Lac du Der,15,245 km,245020,2 hours 54 mins,10449,2 hours 46 mins,9985,"6 Rue du Four, 52130 Louvemont, France","48.551724, 4.910145",http://www.grandsgites.com/gite-52-lac-der-2133.htm,,06.84.97.93.31,06.84.97.93.31,"Gestion libre : None  Autres infos : Pour les demandes particulières nous contacter, pour des séminaires si vous avez besoin d'une capacité d'hébergement plus importante, nous avons à 500 m un domaine privé avec locations de  12 chalets  équipés, dans un cadre très agréable, c'est plus exactement le parc d'un ancien château.  Taxe de séjour : 0,30 €/pers./nuit Location draps : 10,50 € (inclus en haute saison) Ménage fin de séjour : 200 € (inclus en haute saison) Animaux : Non admis Chèques vacances : Oui","
Nous sommes heureux de vous présenter notre très belle maison, c'est une demeure hors normes, par sa beauté et par sa grandeur. Elle est offre un confort incontestable, 8 chambres, dont 4 ont des mezzanines avec salons, salles d'eau avec grandes douches et toilettes séparées. Les chambres sont grandes, agencées avec beaucoup de soin, nous avons réalisé ce gîte avec toujours autant de passion, nous aimons accueillir, faire de belles rencontres. La salle à manger très spacieuse est idéale pour des repas en famille, les séminaires, une grande table vous y attend. Il y a une autre grande salle avec deux salons séparés par la cheminée, une salle de billard jouxte le salon. A l'étage une immense mezzanine dessert les autres chambres et les deux autres salles d'eau.  La piscine est chauffée, construite au milieu d'une grande cour entièrement fermée sans vis à vis. Toute la maison a été restaurée que ce soit, l'intérieur comme les extérieurs, tout a été fait avec des matériaux de qualité. Nous chauffons en hiver avec une pompe chaleur eau/eau qui offre un confort inégalable dans un tel volume. Nous sommes situés dans la région du Lac du Der et le lieu est idéal pour la randonnée, les sports nautiques, le patrimoine régionale est riche. Le lac est une formidable réserve ornithologique et vous pourrez admirer les vols de grues cendrées ou des oies rieuses, elles passent chaque jour au dessus de la maison de fin octobre jusqu'à la fin de l'hiver."
Centre hébergement Château de Vaux ,60,185 km,184860,1 hour 58 mins,7074,1 hour 51 mins,6672,"Vaux, 10260 Fouchères, France","48.125688, 4.262994",http://www.grandsgites.com/gite-10-chcvaux-3290.htm,,06.33.33.57.94,09.84.25.93.15,Gestion libre : None  Taxe de séjour : Incluse Location draps : Non inclus Ménage fin de séjour : Non inclus Animaux : Admis Chèques vacances : Non,"
Vaste centre d'hébergement dans le commun Est du château de Vaux - Près de 400 m² avec salon, espaces conviviaux et chambres pour des séjours de 40 à 83 personnes (gites du château et de la ferme compris). Cette partie privative est implantée dans l'enceinte même d'un vaste domaine historique du XVIII ème siècle. Le centre d'hébergement et les 2 gîtes sont disponibles toute l'année pour une location couplée ou séparée en fonction du nombre de convives.
Idéalement situés dans un cadre idyllique au milieu d'un incroyable espace naturel préservé, l'accès au château se fait directement depuis N71 Troyes-Dijon proche du petit village de Fouchères. À 20 mn de Troyes, 15 mn du Lac de la forêt d'Orient, 10 mn du péage A5 et 5 mn du vignoble de la Côte des Bar, ce gîte est l'endroit idéal pour profiter d'un week-end à la campagne tout en profitant de multiples activités (baignade, équitation, golf, tourisme, oenotourisme, chasse).
Le château dispose également de 2 salles de réception, l'Orangerie, de 110 m² et la Grange monumentale de 260 m² pouvant accueillir tout type d'évènements et disponibles à l'année. Plafond à la française, vases en terre cuite italienne et une vue directe sur la cour d'honneur du château donnent à l'ensemble une ambiance raffinée et un prestige incomparable. Plus d'informations sur demande - Visite tous les jours en semaine et le week-end "
Séj. et découvertes en Champagne,31,152 km,151528,2 hours 13 mins,7975,1 hour 58 mins,7073,"1 Allée du Château, 51130 Val-des-Marais, France","48.8186482,3.9641064",http://www.grandsgites.com/gite-51-sejours-champagne-294.htm,,,03.26.59.27.30,"Gestion libre : None Nuit + Petit-déj : 23,50 € (adulte et enfants à partir de 13 ans)  Autres infos : Week-end 2 nuits: du vendredi 18h au dimanche 18h  Taxe de séjour : None Location draps : 6,50 €/pers. Ménage fin de séjour : 160 € ou remise en l'état d'arrivée des lieux Animaux : Oui Chèques vacances : Non","
Gîte de groupe dans une ancienne maison bourgeoise, située dans un parc de 6 Ha au coeur de la Champagne. Lieu idéal pour se retrouver en famille ou entre amis, se détendre et profiter de l'ombre des grands arbres."
Gite du Pont Château de Charbogne,26,220 km,220301,2 hours 37 mins,9440,2 hours 22 mins,8516,"13 Gr Grande Rue, 08130 Charbogne, France","49.501184, 4.587831",http://www.grandsgites.com/gite-08-pont-charbogne-3134.htm,,06.03.47.53.39,03.24.30.18.56,Gestion libre : None  Autres infos : Tarifs adaptés pour les petits groupes jusqu'à 14 personnes  Taxe de séjour : Pas de taxe Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui,"
Venez vous ressourcer dans notre château du XVIème siècle. Situé dans le village de Charbogne, petit havre de paix au sud du département des Ardennes.
Notre gîte du pont, très confortable est équipé d'une piscine couverte et chauffée toute l'année. 
12 chambres doubles avec salle d'eau et des toilettes et 1 chambre double (sans sanitaires). Détendez-vous au coin du feu dans la vaste salle à manger... Prenez du temps pour vous ressourcer...
Profitez de moments conviviaux en famille ou entre amis. Le gîte dispose d'une cuisine équipée pour les groupes. Aux beaux jours, profitez de la terrasse surplombant les douves. Possibilité de faire un barbecue. A partager avec l'autre gîte : une table de ping-pong, un portique, un terrain de pétanque.
"
Le Moulin de Moraypré,32,283 km,283451,3 hours 24 mins,12263,3 hours 8 mins,11260,"24 Rue du 24 Août, 08170 Haybes, France","50.011017, 4.723076",http://www.grandsgites.com/gite-08-moulin-moraypre-2337.htm,,,03.24.41.26.78,"Gestion libre : None Nuit + Petit-déj : None Demi-pension : None Pension complète : None  Autres infos : 565 € la première nuit + 355 € la nuit supplémentaire (ménage final inclus)  Taxe de séjour : 0,60 €/nuit/pers. Location draps : 9 € Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui","
Dans un ancien moulin à tan, complètement rénové, le Moulin de Moraypré est situé au coeur de la forêt des Ardennes. En bordure de la voie verte trans-Ardennes (piste de cyclable de 83km), sur le Parc de Moraypré (7 hectares), venez profiter en famille ou en groupe d'un cadre qui vous enchantera. Chaque chambre est équipée d'une douche et de 2 lavabos."
La Carandace,20,173 km,173099,2 hours 2 mins,7343,1 hour 47 mins,6434,"2 D966, 51110 Auménancourt, France","49.3800864,4.0380707",http://www.grandsgites.com/gite-51-carandace-837.htm,,06.37.15.58.38,03.26.97.53.69,Gestion libre : None  Autres infos : Week-end du vendredi 16h au dimanche 10h  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Non,"
Gite aménagé dans les anciens étable, bergerie et grenier à foin.
Florence et Jérôme vous accueillent, toute l'année, dans une ferme céréalière, cadre clos, fleuri et calme à 10 km au Nord de Reims (D966 Reims-Bruxelles) dans le Pays Rémois aux confluents de 3 départements (Marne-Aisne-Ardennes) et 2 régions (Champagne-Ardenne et Picardie). Les lits sont faits à votre arrivée. A votre écoute pour répondre au mieux à vos besoins ou souhaits pour rendre votre séjour le plus agréable."
Maison des Officiers,20,227 km,226972,2 hours 37 mins,9401,2 hours 29 mins,8937,"4 Place Auguste Lebon, 52220 Montier-en-Der, France","48.478458,4.77056",http://www.grandsgites.com/gite-52-maison-officiers-1417.htm,,07.86.16.95.39,03.25.06.57.70,"Gestion libre : None  Autres infos : Petit déjeuner : 8 €  Taxe de séjour : 0,45 €/pers./nuit Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui","
La Maison des Officiers se situe dans le Haras National de Montier en Der, à quelques minutes du Lac du Der. Nous vous proposons également une salle multi-activités avec cuisine pour vos réunions, vin d'honneur, repas de famille, ainsi que la cour d'honneur et son jardin idéal pour vos photos de mariage."
Gites de Villers en Argonne,50,242 km,242218,2 hours 36 mins,9347,2 hours 21 mins,8431,"56-58 Rue du Chemin de Châlons, 51800 Villers-en-Argonne, France","49.019783, 4.938212",http://www.grandsgites.com/gite-51-de-villers-3232.htm,,06.86.97.39.36,03.26.60.37.70,Gestion libre : None Nuit : None Nuit + Petit-déj : None Demi-pension : None Pension complète : None  Autres infos : Le ménage est compris dans tous les tarifs en demi-pension et pension complète.  Taxe de séjour : Incluse Location draps : 8 € Ménage fin de séjour : 200 € Animaux : Non admis Chèques vacances : Oui,"
Gites pouvant accueillir 50 personnes au centre d'un petit village très calme aux portes de la foret d'Argonne (pays des bois). De nombreux chemins de randonnées, sites historiques à visiter, sur place une ferme pédagogique et poney club vous donneront un vrai retour aux sources.
"
