name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Gîte du Valnaye,20,157 km,156593,2 hours 17 mins,8197,2 hours 4 mins,7458,"4 Le Valnaye, 76113 Saint-Pierre-de-Manneville, France","49.402763,0.945124",http://www.grandsgites.com/gite-76-valnaye-1314.htm,,06.80.22.93.05,02.35.34.17.32,"Gestion libre : None  Autres infos : Charges incluses dans les tarifs  Taxe de séjour : 0,30 €/pers./nuit Location draps : Inclus Ménage fin de séjour : Non inclus Animaux : Non admis Chèques vacances : Oui","
Le gîte du Valnaye est un gîte rural de 20 lits labellisé Panda WWF et Tourisme et Handicap situé en forêt de Roumare, dans le parc naturel régional des boucles de la Seine Normande. De nombreux équipements sont mis à la disposition des petits et grands, des randonneurs et des amis de la nature : sentiers de découverte des essences des arbres, tables forestières, balançoires, ping-pong, outils ludiques et pédagogiques sur la forêt, les oiseaux... C'est un lieu idéal pour fêter un événement, se retrouver en famille, découvrir les richesses de la vallée de la Seine. Plusieurs activités sont également proposées par l'association du gîte du Valnaye (agv/visiter) : animations d'éducation à l'environnement et anniversaires nature, journées trappeurs, randonnées pédestres guidées, canoë-kayak, vélorail, tir à l'arc... Une bonne façon de vivre ensemble au plein air."
Au Clos de la Beauce,40,171 km,170737,2 hours 5 mins,7479,1 hour 52 mins,6725,"519 Côte de la Beauce, 76690 Clères, France","49.6030482,1.1265171",http://www.grandsgites.com/gite-76-clos-beauce-579.htm,,06.83.16.94.20,09.75.53.84.82,Gestion libre : None  Autres infos : Nuitée en semaine de 20 à 25 €/pers. sur la base de 20 personnes et 2 nuits minimum.  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 150 € Animaux : Admis Chèques vacances : Oui,"
Une décoration moderne et soignée dans un bâtiment de caractère; 9 chambres en mezzanine de 2 à 6 personnes et une chambre en RDC accessibles aux personnes à mobilité réduite. 
Une terrasse plein sud face à la forêt avec salon de jardin, tables rondes pour profiter des beaux jours. Situé entre Rouen et Dieppe à 10 mn à pied du village et de la gare."
Gîtes de la Ferme de l'Eglise,17,194 km,194084,2 hours 10 mins,7778,1 hour 57 mins,7027,"8 Rue Des Diligences, 27210 Fatouville-Grestain, France","49.403620, 0.328020",http://www.grandsgites.com/gite-27-ferme-eglise-3062.htm,,,02.32.42.15.95,Gestion libre : None  Autres infos : Acompte de 50 %  Taxe de séjour : Incluse Location draps : 16 € Ménage fin de séjour : 140 € obligatoire Animaux : Non admis Chèques vacances : Oui,"
A quelques kilomètres seulement du vieux bassin de Honfleur et des célèbres planches de Deauville, les Gîtes de la Ferme de l'Eglise, ce sont 3 maisons de charme et sa roulotte de campagne. Propriété typiquement normande restaurée pour des séjours de charme en couple, en famille ou entre amis. Gilles vous accueille dans un cadre idyllique à la campagne proche de la mer. Sur place, parking privatif pour vos véhicules, voitures ou motos, piscine extérieure partagée par les hôtes, ouvertes de fin avril à fin septembre, Wifi gratuit dans toute la propriété, piste de pétanque ouverte toute l’année et balançoires en bois près du gîte Cannelle. Restaurant du village pour réunir les groupes autour d'une table avec des produits régionaux et pas cher."
La Maison Saint Nicolas,30,90.9 km,90906,1 hour 25 mins,5088,1 hour 14 mins,4420,"4 Chemin Saint-Nicolas, 27630 Fourges, France","49.131738,1.62288",http://www.grandsgites.com/gite-27-saint-nicolas-1614.htm,,06.21.51.51.13,02.32.52.72.87,Gestion libre : None  Autres infos : Chauffage inclus pour La Maison Saint Nicolas (23 pers.).  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 23 couchages : forfait 150 € Animaux : Admis Chèques vacances : Oui,"
Maisons de campagne de caractère avec matériaux nobles : tomettes, poutres apparentes et parquet. Décoration à la fois sobre et soignée. Gîtes rénovés entièrement en 2012 et 2014. Vous aimerez sa grande salle de 45m² avec sono, grand écran et vidéoprojecteur. Idéalement situé à moins d'1 h de Paris et 10 mn de Giverny, cette ancienne ferme nichée dans un charmant petit hameau vous offrira une pause détente pour un week-end ou plus. "
La Charretterie,12,198 km,197666,2 hours 17 mins,8191,2 hours 3 mins,7405,"186 Sentier de l'Abbaye, 76550 Offranville, France","49.870307,1.053523",http://www.grandsgites.com/gite-76-la-charretterie-880.htm,,,06.87.04.40.06,"Gestion libre : None  Autres infos : Les enfants de moins de 13 ans, personnes handicapées... ne sont pas soumis à la taxe de séjour.  Taxe de séjour : 0,85 €/pers./nuit Location draps : 4,50 € Ménage fin de séjour : 55 € Animaux : Non admis Chèques vacances : Oui","
Vous recherchez une maison de vacances lumineuse, spacieuse, typiquement normande et proche des belles plages et falaises de craie du Pays de Caux ? Bienvenue à la Charretterie ! 
Après avoir porté pendant plus de 300 ans des centaines de tonnes de grain sur ses grosses poutres de chêne et reçu la marque des meilleurs ouvriers charpentiers de l'époque de Louis XIV, cette Charretterie - une des plus grandes du Pays de Caux - a reçu une nouvelle vocation : permettre de se détendre dans un bel espace séjour - salle à manger de 45 m², se reposer dans l'une des 5 charmantes chambres à colombages, encourager avec une cuisine bien équipée et lumineuse de joyeuses préparations de repas conviviaux en famille ou entre amis. Coté pratique, 3 salles de bain apportent un confort de vie apprécié, le parking privé permet de se garer facilement, la grande terrasse de 70 m², de plain pied avec la cuisine, le séjour-salle à manger, la chambre et la salle de bain du rez de chaussée facilite l'accès aux personnes ayant un handicap."
Domaine des Vallées,27,151 km,150579,2 hours 21 mins,8466,2 hours 8 mins,7673,"Unnamed Road, 76750 Rebets, France","49.52465,1.40196",http://www.grandsgites.com/gite-76-domaine-des-vallees-5.htm,,,02.35.34.41.23,Gestion libre : Week-end : de 335 à 605 € suivant le nombre de personnes  Autres infos : Les tarifs sont variables selon le nombre de personnes et la durée du séjour (voir tarifs sur notre site internet)  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Oui Chèques vacances : Non,"
Le Domaine des Vallées est situé à Bois-Guilbert en Normandie à 1h30 de Paris et 30 minutes de Rouen. Dans un cadre de verdure et un calme absolu, le lieu propose un gîte d'une capacité de 27 personnes. Dans un rayon de 500m : château de Bois-Guilbert, jardin des sculptures et ferme équestre (1er poney club de France)."
Granges de Bosc-Grimont,23,167 km,166569,1 hour 58 mins,7091,1 hour 46 mins,6346,"2265 Le Bosc Nouvel, 76690 Le Bocasse, France","49.6127642,1.0543334",http://www.grandsgites.com/gite-76-granges-bosc-grimont-333.htm,,06.82.11.11.56,00 33 (0)2.35.32.51.18,"Gestion libre : Promotion de dernière minute (Réservation moins de 2 mois avant) :  Autres infos : Les tarifs ci-dessus comprennent le chauffage, l’eau, l’électricité et de la vaisselle pour 35 personnes.  Taxe de séjour : Incluse Location draps : Oui Ménage fin de séjour : 90 € Animaux : Oui Chèques vacances : Oui","
Entre SEINE et MER, idéalement situé pour réunir vos proches. Nous vous accueillons dans un cadre chaleureux et convivial à la campagne. La Grange et la Charreterie, typiquement normandes, ont été récemment rénovées en 7 chambres tout confort et avec un très bel espace de vie modulable. L’ensemble est entouré d’un grand jardin paysagé avec terrasse exposée sud."
Le Pensionnat,38,201 km,201331,2 hours 18 mins,8286,2 hours 5 mins,7515,"102 Le Pensionnat, 27260 Asnieres, France","49.1892138,0.3994238",http://www.grandsgites.com/gite-27-le-pensionnat-34.htm,,06.25.40.32.63,02.32.46.42.10,"Gestion libre : None  None None None - 10% sur les week-ends du 20/01/2017 au 19/02/2017 hors taxes, suppléments et options  Autres infos : Location sono et jeux de lumières : 215 €  Taxe de séjour : 0,50 €/pers./nuit (+ de 18 ans) Location draps : Option 6,50 € Ménage fin de séjour : En supplément Animaux : Non Chèques vacances : Oui","
A 2 heures de Paris, 1 heure de Rouen, 35 minutes de la côte (Deauville, Honfleur). Il s’agit d’un ancien pensionnat de jeunes filles niché dans un écrin de verdure. Très spacieux, il est agrémenté d’un jardin de 4000 m² avec tente de réception de 72m² parquetée (dont vous pourrez profiter jusqu’à 22h30 du 01/04 au 31/10). Il se compose de 12 chambres dont 9 de 2 personnes, 2 duplex de 8 personnes et 1 chambre de 4 personnes, d’une salle de 100 m² avec cuisine indépendante. Idéal pour des réunions familiales, amicales, festives ou professionnelles. "
Gite de l'Ere d'Antan,15,98.9 km,98926,1 hour 24 mins,5030,1 hour 13 mins,4356,"8 Rue de la Vieille Route, 27320 Moisville, France","48.835059, 1.166930",http://www.grandsgites.com/gite-27-ere-antan-2777.htm,,06.29.76.39.29,02.32.60.06.10,Gestion libre : None  Taxe de séjour : None Location draps : Non fournis Ménage fin de séjour : 75 € (facultatif) Animaux : Non admis Chèques vacances : Oui,"
A 100 km de Paris, le gite de l'Ere d'Antan en Haute-Normandie vous accueille toute l'année, dans une grande bâtisse à colombages, confortable avec son séjour de 100m², une cuisine à l'américaine fonctionnelle et ses 15 couchages répartis en 5 chambres, sans oublier la salle à manger qui peut accueillir jusqu'à 25 convives."
Ethic étapes Les Hellandes,116,199 km,199444,2 hours 23 mins,8604,2 hours 10 mins,7804,"15 Les Hellandes, 76133 Manéglise, France","49.576235, 0.268809",http://www.grandsgites.com/gite-76-domaine-hellandes-2547.htm,,,02.35.20.63.73,"Nuit + Petit-déj : 25 à 42 € Demi-pension : 34 à 51 € Pension complète : 40 à 57 €  Autres infos : Nous contacter pour un tarif précis suivant la taille de votre groupe.  Taxe de séjour : Incluse Location draps : 5,50 € Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui","
Situé dans un écrin de verdure au coeur de la Normandie, le domaine des Hellandes vous accueille dans un parc clos de 4 hectares équipé d'une salle de sports et d'un poney club. Pour vos séjours en pension complète ou en demi pension, notre unité de restauration vous propose une cuisine traditionnelle adaptable à vos attentes. 4 à 8 salles de travail modulables peuvent être utilisées lors de vos séjours. Le domaine est idéalement situé pour vos visites, Etretat à 14 km, Le Havre et Fécamp à 22 km. Possibilité de séjours thématiques."
Champ de l'être,20,106 km,106272,1 hour 25 mins,5072,1 hour 13 mins,4380,"5 Chemin des Prairies, 27490 La Croix-Saint-Leufroy, France","49.111081,1.242303",http://www.grandsgites.com/gite-27-champdeletre-251.htm,,,06.13.88.08.42,Gestion libre : None  Autres infos : Semaine: 7 jours  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non Chèques vacances : Non,"
Situé dans la vallée de l'Eure, à 1h de Paris (55 minutes de la porte de St Cloud) , notre écogîte bénéficie d'un environnement calme et verdoyant. 20 couchages et réception possible jusqu'à 35 personnes. Corps de ferme entièrement rénové afin de vous offrir tout le confort nécessaire pour fêter les grands moments, organiser des stages, séminaires, réunions de travail ou tout simplement vivre des instants de convivialité en famille ou entre amis."
Gîte entre Terre et Mer,21,210 km,209867,2 hours 28 mins,8863,2 hours 15 mins,8085,"76540 Sassetot-le-Mauconduit, France","49.7833008,0.5386305",http://www.grandsgites.com/gite-76-entre-terre-et-mer-450.htm,,06.77.18.09.48,02.35.10.02.15,"Gestion libre : None  Autres infos : . Stère de bois : 50 €  Taxe de séjour : 0,70 € / nuit et personne Location draps : 7 €/lit Ménage fin de séjour : Inclus Animaux : Non Chèques vacances : Oui","
A 3 Km de la mer, deux gîtes mitoyens de caractère de 8 et 13 personnes pouvant être rassemblés, situés au fond d'un corps de ferme, accessibles aux personnes à mobilité réduite."
La Longère,61,200 km,199657,2 hours 20 mins,8379,2 hours 7 mins,7599,"Le Parc d'Albosc, 76210 Rouville, France","49.6337158,0.5061436",http://www.grandsgites.com/gite-76-la-longere-297.htm,,06.25.41.27.18,02.35.38.91.98,"Gestion libre : None  Autres infos : Les disponibilités et tarifs indiqués ci-dessus ne concernent que le gite de groupe Longère, soit la salle + 24 couchages.  Taxe de séjour : 0,70 €/nuit/adulte Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non Chèques vacances : Oui","
A 190 km de Paris, 35 km du Havre, 29 km d'Etretat et situé dans la campagne normande non loin de la mer, nous vous accueillerons pour vos séjours ou week-ends en famille ou entre amis.
La Longère est un ancien bâtiment agricole complètement restauré, à l'intérieur d'un clos masure typique normand.
4 autres gites sont répartis sur le même site : Etable (14 pers.) - Maison (11 pers.) - Charretterie (6 pers.) - Bergerie (6 pers.), avec une capacité totale d'accueil de 61 personnes."
La Chaumière aux Poneys,50,137 km,137122,1 hour 57 mins,7026,1 hour 46 mins,6349,"5 Route de Beaumont, 27170 Le Tilleul-Othon, France","49.114554,0.788021",http://www.grandsgites.com/gite-27-chaumiere-poneys-964.htm,,06.74.95.26.00,02.32.45.26.17,"Gestion libre : None  Autres infos : Pour les pensions complètes à la semaine, nous contacter car nous avons un tarif par personne avec animation incluse (voir le site internet)  Taxe de séjour : Incluse Location draps : Apporter sac de couchage ou couette (nous fournissons drap housse, traversin, taie et couverture). Ménage fin de séjour : En option : 80 € pour le gîte seul et 60 € pour la grange seule. Animaux : Non admis Chèques vacances : Oui","
Idéal pour un week-end entre amis ou réunion de famille, nous vous proposons une grande maison normande de caractère, dans un ancien corps de ferme situé au cœur du village. 6000m² de cour aménagée de jeux avec des petits animaux de la ferme : poules, canards, oies, lapins, chèvre qui feront le bonheur des enfants. Cours d'équitation le samedi après-midi, pour les enfants (contact poney-club : voir notre site Internet)."
La Mazurie,22,218 km,218378,2 hours 36 mins,9356,2 hours 22 mins,8546,"12 Bis Rue du Hamel, 76660 Grandcourt, France","49.9122001,1.4876604",http://www.grandsgites.com/gite-76-la-mazurie-433.htm,,,02.35.94.70.90,Gestion libre : Forfait week-end : 860 €  Taxe de séjour : Incluse Location draps : 5 € / lit Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui,"
La Mazurie est une maison normande qui se situe dans un environnement de vergers. Nombreux chemins de randonnées à partir du gîte. A 20km de la mer. "
